Titik,Temperatur,Kelembapan,Angin,Cahaya,Suara
1,27.4,61.7,0,184,68.8
2,27.4,60.7,0,192,73
3,27.4,60.5,0,168,74.8
4,27.8,60.2,0,133,78.8
5,27.4,78.1,0,56,74.2
6,27.5,78.1,0,0,70.4
7,27.4,78.1,0,13,71
8,NaN,NaN,NaN,NaN,NaN
9,27.2,58.2,0,185,70.6
10,27.6,58.7,0,204,71.3
11,27.5,58.7,0,195,73.1
12,27.5,60.4,0,158,74.2
13,27.5,78.2,0,103,71.5
14,27.5,78.1,0,104,70
15,27.4,78.1,0,73,69.5
16,NaN,NaN,NaN,NaN,NaN
17,27.6,60.5,0,213,68.8
18,27.6,59.1,0,237,69
19,27.6,58.9,0,201,70.5
20,27.5,58.1,0,158,71.9
21,27.1,78,0,130,69.9
22,27,78,0,112,69
23,27,78,0,100,69.5
24,NaN,NaN,NaN,NaN,NaN
25,27.6,61.3,0,194,69
26,27.6,59,0,225,69.5
27,27.6,59,0,211,71.1
28,27.6,58.7,0,152,70.6
29,27.2,78.1,0.4,151,70.1
30,27.6,78.1,0,146,70
31,27.6,78.2,0,57,68.5
32,NaN,NaN,NaN,NaN,NaN
33,27.6,61.7,0,223,69.1
34,27.6,61.2,0,246,68
35,27.5,63.1,0,250,69
36,27.5,61.1,0,172,70.4
37,27.4,78.1,0,146,69.8
38,27.4,78.1,0,156,68.4
39,27.4,78.1,0,134,67.5
40,27.5,78.1,0,105,66.8
41,27.7,60.4,0,233,68.8
42,27.7,61.2,0,269,68.9
43,27.6,60.2,0,241,68.2
44,27.5,59.8,0,166,68
45,27.4,78.1,0,165,69
46,27.3,78.1,0,173,68.5
47,27.3,78.1,0,144,68.7
48,27.4,78.1,0,116,67.9
49,27.7,60.5,0,286,67.2
50,27.8,61.5,0,289,67.67
51,27.7,61,0,211,67.9
52,27.7,61.5,0,160,68.32
53,27.4,78.1,0.8,184,67
54,27.4,78.1,1.3,136,68.2
55,27.4,78.1,1.2,66,67
56,27.4,78.1,0,103,66.5
57,27.7,62.4,0,254,67.7
58,27.6,63.2,0,277,68
59,27.5,63.8,0,251,67.4
60,27.4,63.4,0,190,67.8
61,27.4,78.1,0,166,66.5
62,27.4,78.1,0,175,67.1
63,27.3,78.1,0,135,67.3
64,NaN,NaN,NaN,NaN,NaN
65,27.4,61.5,0,201,67
66,27.3,61.6,0,294,66.4
67,27.3,63.6,0,237,67.5
68,27.4,67.7,0,183,66.1
69,27.3,78.1,0,172,67.2
70,27.2,78.1,0,203,67
71,27.3,78.1,0,167,66
72,27.3,78.1,0,150,65
73,27.5,62.2,0,169,65.8
74,27.5,62.8,0,284,67.4
75,27.5,63,0,224,66.3
76,27.6,63.5,0,142,66.4
77,27.2,68.1,0,126,68
78,27.1,78,0,203,66.4
79,27.3,78,0.4,225,67
80,27.2,78.1,0,127,66.2
81,27.8,61.2,0,134,65.7
82,27.8,63.9,0,235,63.1
83,27.7,63.8,0,184,67.1
84,27.7,62.3,0,147,66
85,27.3,78.1,0,93,66.6
86,27.3,78.1,0,132,66.5
87,27.8,78.2,0,137,64.9
88,27.9,78.2,0,104,66.7
89,27.5,66.2,0,483,69.5
90,27.7,67,0,175,64.7
91,28,64.7,0,130,66.8
92,28,63.6,0,139,72.1
93,27.4,78.1,0,76,66
94,27.3,78,0,90,68
95,27.3,78,0,114,66.4
96,27.1,78,0,102,66.4
